"workerid","rt","trial_type","kind","predicate_2","chapter_num","page_num","page_content","predicate_1","page_type","question_order","response_2","quantifier","response_1","chapter","condition"
0,5046,"""critical""","""isooms""","""produce fruit with smooth skin""",0,0,"""Isooms are tree-like plants that are found in hilly regions of Fale. Their fruit is edible, and the aliens often ""","""produce fruit with bumpy skin""","""text""",NA,-99,"""generic""",-99,"""Isooms""","""uninterrupted"""
0,3727,"""critical""","""isooms""","""produce fruit with smooth skin""",0,1,"""cultivate isooms for food. Isooms produce fruit with bumpy skin ""","""produce fruit with bumpy skin""","""text""",NA,-99,"""generic""",-99,"""Isooms""","""uninterrupted"""
0,1240,"""critical""","""isooms""","""produce fruit with smooth skin""",0,2,"""and fruit with smooth skin.""","""produce fruit with bumpy skin""","""text""",NA,-99,"""generic""",-99,"""Isooms""","""uninterrupted"""
0,11154,"""critical""","""isooms""","""produce fruit with smooth skin""",0,3,"""""","""produce fruit with bumpy skin""","""query""","""reverse""",0.3,"""generic""",0.7,"""Isooms""","""uninterrupted"""
0,5244,"""filler""","""aliens""","""are provided for by Zorxon""",1,0,"""Zorxon is the overlord of Dax.  Everyone loves Zorxon because she ""","""love Zorxon""","""text""","""reverse""",-99,"""all""",-99,"""Zorxon, overlord of Dax""","""uninterrupted"""
0,2861,"""filler""","""aliens""","""are provided for by Zorxon""",1,1,"""provides for all the aliens of Dax. However, Zorxon is now very old ""","""love Zorxon""","""text""","""reverse""",-99,"""all""",-99,"""Zorxon, overlord of Dax""","""uninterrupted"""
0,2110,"""filler""","""aliens""","""are provided for by Zorxon""",1,2,"""and she rarely makes public appearances anymore. Still, she is very influential.""","""love Zorxon""","""text""","""reverse""",-99,"""all""",-99,"""Zorxon, overlord of Dax""","""uninterrupted"""
0,8366,"""filler""","""aliens""","""are provided for by Zorxon""",1,3,"""""","""love Zorxon""","""query""","""same""",0.85,"""all""",0.75,"""Zorxon, overlord of Dax""","""uninterrupted"""
0,4681,"""critical""","""reesles""","""wear krevnors around their heads""",2,0,"""Reesles are strange, furry creatures, often found in the homes of the aliens. They are not house pets ""","""wear wutsats around their heads""","""text""","""same""",-99,"""generic""",-99,"""Reesles""","""uninterrupted"""
0,3476,"""critical""","""reesles""","""wear krevnors around their heads""",2,1,"""but quasi-domensticated animals. They will steal food from you if you are not paying attention. They have""","""wear wutsats around their heads""","""text""","""same""",-99,"""generic""",-99,"""Reesles""","""uninterrupted"""
0,4650,"""critical""","""reesles""","""wear krevnors around their heads""",2,2,"""special headgear to help other aliens identify their owners. Around their heads, they wear giant wutsats""","""wear wutsats around their heads""","""text""","""same""",-99,"""generic""",-99,"""Reesles""","""uninterrupted"""
0,1481,"""critical""","""reesles""","""wear krevnors around their heads""",2,3,"""and krevnors.""","""wear wutsats around their heads""","""text""","""same""",-99,"""generic""",-99,"""Reesles""","""uninterrupted"""
0,10079,"""critical""","""reesles""","""wear krevnors around their heads""",2,4,"""""","""wear wutsats around their heads""","""query""","""reverse""",0.4,"""generic""",0.6,"""Reesles""","""uninterrupted"""
0,7431,"""critical""","""fengnor mated pairs""","""build nests in droops""",3,0,"""Fengnors are smaller, nocturnal creatures. They often hide under the leaves of short trees to avoid ""","""build nests in gluers""","""text""","""reverse""",-99,"""generic""",-99,"""Fengnors""","""uninterrupted_irrelevant"""
0,3130,"""critical""","""fengnor mated pairs""","""build nests in droops""",3,1,"""being seen by larger predators. They scrape the bark off trees to eat. They have highly complex""","""build nests in gluers""","""text""","""reverse""",-99,"""generic""",-99,"""Fengnors""","""uninterrupted_irrelevant"""
0,4668,"""critical""","""fengnor mated pairs""","""build nests in droops""",3,2,"""mating habits. They mate for life, and the males often bring twigs and leaves to the females during""","""build nests in gluers""","""text""","""reverse""",-99,"""generic""",-99,"""Fengnors""","""uninterrupted_irrelevant"""
0,4144,"""critical""","""fengnor mated pairs""","""build nests in droops""",3,3,"""courtship. The mated pairs use these twigs and leaves to build their quite elaborate nests in gluers""","""build nests in gluers""","""text""","""reverse""",-99,"""generic""",-99,"""Fengnors""","""uninterrupted_irrelevant"""
0,1236,"""critical""","""fengnor mated pairs""","""build nests in droops""",3,4,"""and watch over them carefully.""","""build nests in gluers""","""text""","""reverse""",-99,"""generic""",-99,"""Fengnors""","""uninterrupted_irrelevant"""
0,8125,"""critical""","""fengnor mated pairs""","""build nests in droops""",3,5,"""""","""build nests in gluers""","""query""","""same""",0.2,"""generic""",0.8,"""Fengnors""","""uninterrupted_irrelevant"""
0,4543,"""filler""","""blins""","""fly""",4,0,"""Blins are small creatures. They all have hollow bones and fly. They sing beautiful songs to attract mates""","""have hollow bones""","""text""","""same""",-99,"""all""",-99,"""Blins""","""uninterrupted"""
0,1516,"""filler""","""blins""","""fly""",4,1,"""and distract their enemies when they attack.""","""have hollow bones""","""text""","""same""",-99,"""all""",-99,"""Blins""","""uninterrupted"""
0,4532,"""filler""","""blins""","""fly""",4,2,"""""","""have hollow bones""","""query""","""same""",1,"""all""",1,"""Blins""","""uninterrupted"""
0,5337,"""critical""","""farmers in the springtime""","""burn their fields to plant soroneeks""",5,0,"""The soil on the continent of Aga is very fertile, and the aliens have learned to grow many crops. However, farmers only grow""","""flood their fields to plant fujusi""","""text""","""same""",-99,"""generic""",-99,"""Agriculture""","""uninterrupted"""
