"workerid","tested_on","response","check_index","property","correct","condition"
0,-1,0.95,1,"""dogs bark""","true","""practice"""
0,-1,0.5,2,"""birds are male""","true","""practice"""
0,-1,0.09,2,"""cats get cancer""","true","""practice"""
0,-1,0,2,"""lions lay eggs""","true","""practice"""
0,1,1,0,"""most aliens find apaffs cute""","1","""memory_check"""
0,1,1,1,"""most mupors live in extended family groups""","1","""memory_check"""
0,0,0,2,"""no kweps eat plants""","1","""memory_check"""
0,1,1,3,"""all wopis live in the desert""","1","""memory_check"""
0,0,0,4,"""dorbs have infected, yellow scales ""","1","""memory_check"""
0,1,1,5,"""all Astom aliens use the tunnels to get around town""","1","""memory_check"""
0,1,1,6,"""most morseths build permanent structures called fendles""","1","""memory_check"""
0,0,0,7,"""taifles have gold spots that are sticky""","1","""memory_check"""
0,0,0,8,"""lorches have long legs and breathe underwater""","1","""memory_check"""
0,0,0,9,"""cranoor is the king of all beings""","1","""memory_check"""
0,-1,-1,-1,"""Made judgements about statements based on information""","-1","""explanation"""
1,-1,1,1,"""dogs bark""","true","""practice"""
1,-1,0.5,2,"""birds are male""","true","""practice"""
1,-1,0.25,2,"""cats get cancer""","true","""practice"""
1,-1,0,2,"""lions lay eggs""","true","""practice"""
1,0,1,0,"""cranoor is the king of all beings""","0","""memory_check"""
1,1,1,1,"""all yomis live in the borderland woodlands""","1","""memory_check"""
1,0,1,2,"""lorches have long legs and breathe underwater""","0","""memory_check"""
1,0,0,3,"""dorbs have infected, yellow scales ""","1","""memory_check"""
1,0,0,4,"""no kweps eat plants""","1","""memory_check"""
1,1,1,5,"""all aliens remember Wint""","1","""memory_check"""
1,1,0,6,"""most morseths build permanent structures called fendles""","0","""memory_check"""
1,1,0,7,"""no ice storms on Dax result in permanent damage to the plants and animals on Dax""","0","""memory_check"""
1,0,0,8,"""taifles have gold spots that are sticky""","1","""memory_check"""
1,1,0,9,"""all blins have hollow bones""","0","""memory_check"""
1,-1,-1,-1,"""percentage of alien events""","-1","""explanation"""
2,-1,0.92,1,"""dogs bark""","true","""practice"""
2,-1,0.5,2,"""birds are male""","true","""practice"""
2,-1,0.23,2,"""cats get cancer""","true","""practice"""
2,-1,0,2,"""lions lay eggs""","true","""practice"""
2,1,1,0,"""all wopis live in the desert""","1","""memory_check"""
2,1,1,1,"""all aliens remember Wint""","1","""memory_check"""
2,0,0,2,"""cranoor is the king of all beings""","1","""memory_check"""
2,1,1,3,"""no feps eat kazzes""","1","""memory_check"""
2,0,0,4,"""dorbs have infected, yellow scales ""","1","""memory_check"""
2,1,1,5,"""all Astom aliens use the tunnels to get around town""","1","""memory_check"""
2,0,0,6,"""lorches have long legs and breathe underwater""","1","""memory_check"""
2,0,0,7,"""taifles have gold spots that are sticky""","1","""memory_check"""
2,1,1,8,"""most mupors live in extended family groups""","1","""memory_check"""
2,0,0,9,"""no kweps eat plants""","1","""memory_check"""
2,-1,-1,-1,"""story retention with unusual words""","-1","""explanation"""
3,-1,0.9,1,"""dogs bark""","true","""practice"""
3,-1,0.47,2,"""birds are male""","true","""practice"""
3,-1,0.36,2,"""cats get cancer""","true","""practice"""
3,-1,0,2,"""lions lay eggs""","true","""practice"""
3,1,1,0,"""no feps eat kazzes""","1","""memory_check"""
3,1,0,1,"""no ice storms on Dax result in permanent damage to the plants and animals on Dax""","0","""memory_check"""
3,1,1,2,"""all Astom aliens use the tunnels to get around town""","1","""memory_check"""
3,0,0,3,"""taifles have gold spots that are sticky""","1","""memory_check"""
3,1,1,4,"""most aliens find apaffs cute""","1","""memory_check"""
3,0,0,5,"""no kweps eat plants""","1","""memory_check"""
3,0,0,6,"""lorches have long legs and breathe underwater""","1","""memory_check"""
3,0,0,7,"""cranoor is the king of all beings""","1","""memory_check"""
3,1,1,8,"""all blins have hollow bones""","1","""memory_check"""
3,0,0,9,"""dorbs have infected, yellow scales ""","1","""memory_check"""
3,-1,-1,-1,"""I read chapters from a story and used the information to infer using sliders the proportion of subjects from the chapter who partake in a certain activity.""","-1","""explanation"""
4,-1,0.75,1,"""dogs bark""","true","""practice"""
4,-1,0.6,2,"""birds are male""","true","""practice"""
4,-1,0.1,2,"""cats get cancer""","true","""practice"""
4,-1,0,2,"""lions lay eggs""","true","""practice"""
4,0,0,0,"""dorbs have infected, yellow scales ""","1","""memory_check"""
4,0,1,1,"""no kweps eat plants""","0","""memory_check"""
4,1,1,2,"""most mupors live in extended family groups""","1","""memory_check"""
