"workerid","language","enjoyment","gender","age","problems","comments","asses","fairprice","education"
0,"""english""","""0""","""Female""","""29""","""""","""""","""Yes""","""1.50""","""2"""
1,"""english""","""0""","""Male""","""25""","""no""","""""","""Yes""","""1.50""","""2"""
2,"""English""","""0""","""Female""","""28""","""nothing that i could tell""","""""","""Confused""","""1.50""","""3"""
3,"""English""","""0""","""Male""","""22""","""None""","""""","""Yes""","""It was okay""","""2"""
4,"""English""","""1""","""Male""","""35""","""no""","""""",NA,"""could be higher""","""3"""
5,"""english""","""1""","""Male""","""28""","""no problems""","""good""","""Yes""","""1.5""","""3"""
6,"""English""","""1""","""Female""","""27""","""none""","""nice survey""","""Yes""","""2""","""3"""
7,"""english""","""0""","""Male""","""25""","""no""","""ty""","""Yes""","""yes""","""2"""
8,"""english""","""1""","""Female""","""33""","""No probelms.""","""It was fun, thank you!""","""Yes""","""Yes""","""2"""
9,"""english""","""0""","""Male""","""35""","""no""","""""","""Yes""","""1.50""","""3"""
10,"""english""","""1""","""Female""","""26""","""no problem""","""nice""","""Yes""","""10000""","""3"""
11,"""english""","""0""","""Female""","""28""","""no""","""nice""","""Confused""","""one""","""4"""
12,"""English""","""0""","""Male""","""27""","""no""","""""","""Yes""","""2""","""3"""
13,"""English""","""0""","""Female""","""55""","""no""","""""","""Yes""","""1.25""","""3"""
14,"""English""","""0""","""Female""","""30""","""no""","""""","""Yes""","""yes""","""3"""
15,"""English""","""0""","""Male""","""25""","""no""","""none""","""Yes""","""$1.25""","""2"""
16,"""English""","""0""","""Male""","""32""","""No general in the experiment""","""this is very good survey.""","""Yes""","""2""","""3"""
17,"""English""","""1""","""Female""","""32""","""no""","""""","""Yes""","""Yes""","""4"""
18,"""English""","""0""","""Male""","""26""","""""","""""","""Yes""","""yes""","""3"""
19,"""english""","""0""","""Male""","""38""","""""","""""","""Yes""","""1.25""","""4"""
20,"""English""","""1""","""Male""","""34""","""No.""","""""","""Yes""","""1.50""","""2"""
21,"""English""","""-1""","""Male""","""27""","""""","""""","""No""","""2.00""","""3"""
22,"""English""","""1""","""Female""","""44""","""I&quotecharm not positive, but I think a page didn&quotechart display near the beginning. The story talked about how the alien world also had seven continents. The story listed the continents on Earth and it seemed like the alternate continents were then going to be listed, but the story skipped ahead to something else, if I&quotecharm remembering correctly.""","""No comments""","""Yes""","""Yes""","""3"""
23,"""English""","""0""","""Female""","""41""","""sometimes the story ended after the questions""","""""","""Yes""","""2.50""","""3"""
24,"""english""","""0""","""Male""","""28""","""none""","""none""","""Yes""","""1.35""","""3"""
25,"""english""","""1""","""Male""","""44""","""no""","""""","""Yes""","""1.25""","""3"""
26,"""english""","""0""","""Female""","""28""","""no""","""nice experiment and kindly please accept my hit""","""Yes""","""50""","""3"""
