"workerid","language","enjoyment","gender","age","problems","comments","asses","fairprice","education"
0,"""English""","""1""","""Male""","""35""","""There are too many made up words to make it possible to remember most things after the chapter is over.""","""""","""Yes""","""2""","""3"""
1,"""english""","""1""","""Female""","""45""","""no""","""""","""Yes""","""1,50""","""3"""
2,"""English""","""0""","""Male""","""35""","""""","""""","""Yes""","""1.50""","""2"""
3,"""English""","""1""","""Male""","""44""","""No.""","""""","""Yes""","""Yes""","""1"""
4,"""English""","""0""","""Female""","""27""","""no""","""""","""Yes""","""2.00""","""1"""
5,"""English""","""1""","""Female""","""30""","""no""","""""","""Yes""","""1.00""","""1"""
6,"""English""","""1""","""Male""","""66""","""no""","""n/a""","""Yes""","""1.50""","""4"""
7,"""English""","""1""","""Male""","""23""","""No""","""It would be nice to have a little extra time on the hit so we don&quotechart have to rush too much. But other than that it was perfect.""","""Yes""","""The payment is pretty fair.""","""1"""
8,"""english""","""1""","""Female""","""58""","""no""","""""","""Yes""","""yes""","""3"""
9,"""english""","""1""","""Male""","""45""","""no""","""thanks!""","""Yes""","""1.50""","""2"""
10,"""English""","""0""","""Female""","""32""","""No""","""""","""Yes""","""2.00""","""2"""
11,"""ENGLISH""","""0""","""Male""","""30""","""NO""","""NO COMMENTS""","""Yes""","""NO IDEA""","""3"""
12,"""turkish""","""0""","""Female""","""34""","""""","""""","""Yes""","""2""","""3"""
13,"""english""","""1""","""Female""","""47""","""no""","""""","""Yes""","""yes""","""2"""
14,"""English""","""0""","""Female""","""24""","""Sometimes a page would skip without me clicking on it.""","""""","""Yes""","""1.75 or 2.00, as it is currently just below a fair rate""","""4"""
15,"""English""","""0""","""Female""","""44""","""no""","""no""","""Yes""","""1.50""","""3"""
16,"""english""","""1""","""Female""","""29""","""no""","""""","""Yes""","""2.00""","""1"""
17,"""english""","""0""","""Female""","""31""","""none""","""""","""Yes""","""yes""","""4"""
18,"""english""","""0""","""Female""","""38""","""no""","""""","""Yes""","""what you are paying""","""2"""
19,"""English""","""1""","""Male""","""30""","""No""","""Nothing""","""Yes""","""100""","""3"""
20,"""English""","""-1""","""Female""","""24""","""no""","""""","""Yes""","""2.00""","""2"""
21,"""English""","""0""","""Female""","""38""","""no""","""""","""Yes""","""1.50""","""3"""
22,"""ENGLISH""","""0""","""Male""","""32""","""NO""","""""","""Yes""","""2""","""2"""
23,"""English""","""1""","""Female""","""48""","""I kept feeling like there were extra pages, or things out of place.""","""""","""Yes""","""2.00""","""1"""
24,"""English""","""-1""","""Male""","""35""","""""","""Brutal.""","""Yes""","""3.00""","""1"""
25,"""English""","""0""","""Female""","""35""","""no""","""""","""Yes""","""yes""","""1"""
26,"""ENGLISH""","""0""","""Male""","""31""","""YES SOME CONFUSED""","""NICE STUDY""","""Yes""","""1.50""","""3"""
