"workerid","rt","trial_type","kind","predicate_2","query_predicate_2","information","chapter_num","query_predicate_1","page_num","page_content","predicate_1","page_type","question_order","response_2","quantifier","response_1","chapter","condition","conjunctionBreak"
0,4913,"""filler""","""NA""","""NA""",NA,NA,0,NA,"0","""Dax is a lot like Earth.  It has seven continents in similar places, but instead of Africa, Europe, Asia, ""","""NA""","""text""",NA,-99,"""generic""",-99,"""An introduction to Dax""","""uninterrupted""",NA
0,2254,"""filler""","""NA""","""NA""",NA,NA,0,NA,"1","""Australia, Antarctica and North and South America, the continents ""","""NA""","""text""",NA,-99,"""generic""",-99,"""An introduction to Dax""","""uninterrupted""",NA
0,4548,"""filler""","""NA""","""NA""",NA,NA,0,NA,"2","""are called  Aga,  Benli, Caro, Dodi, Ente, Fale, and Gomi. Its climate is a lot like Earth&quotechars, too. But the""","""NA""","""text""",NA,-99,"""generic""",-99,"""An introduction to Dax""","""uninterrupted""",NA
0,1847,"""filler""","""NA""","""NA""",NA,NA,0,NA,"3","""  plants and animals of Dax are quite different.""","""NA""","""text""",NA,-99,"""generic""",-99,"""An introduction to Dax""","""uninterrupted""",NA
0,3971,"""filler""","""plovs""","""are attacked by other creatures""",NA,"""both""",1,NA,"0","""No plovs live on the continent of Aga; instead, in they all live on""","""live in the continent of Aga""","""text""",NA,-99,"""none""",-99,"""Plovs""","""interrupted""","""before"""
0,4355,"""filler""","""plovs""","""are attacked by other creatures""",NA,"""both""",1,NA,"1","""Caro. Since they have their own territory, they are never attacked by other, larger creatures and ""","""live in the continent of Aga""","""text""",NA,-99,"""none""",-99,"""Plovs""","""interrupted""","""before"""
0,4026,"""filler""","""plovs""","""are attacked by other creatures""",NA,"""both""",1,NA,"2","""live happily near water. Their herds are large but have a single leader. The leaders are the oldest female ""","""live in the continent of Aga""","""text""",NA,-99,"""none""",-99,"""Plovs""","""interrupted""","""before"""
0,8475,"""filler""","""plovs""","""are attacked by other creatures""","""are attacked by other creatures""","""both""",1,"""live in the continent of Aga""","null","""""","""live in the continent of Aga""","""query""","""same""",0.05,"""none""",0.52,"""Plovs""","""interrupted""","""before"""
0,1129,"""filler""","""plovs""","""are attacked by other creatures""","""are attacked by other creatures""","""both""",1,"""live in the continent of Aga""","3","""and the oldest male.""","""live in the continent of Aga""","""text""","""same""",0.05,"""none""",0.52,"""Plovs""","""interrupted""","""before"""
0,4012,"""filler""","""aliens""","""tolerate apaffs to some extent""","""are attacked by other creatures""","""full""",2,"""live in the continent of Aga""","0","""Apaffs are a nuisance for the aliens. They make burrows everywhere including in the middle of farmland ""","""find apaffs cute""","""text""","""same""",-99,"""most""",-99,"""Apaffs""","""interrupted""","""after"""
0,2960,"""filler""","""aliens""","""tolerate apaffs to some extent""","""are attacked by other creatures""","""full""",2,"""live in the continent of Aga""","1","""and in front of houses. But most aliens find apaffs cute, and tolerate ""","""find apaffs cute""","""text""","""same""",-99,"""most""",-99,"""Apaffs""","""interrupted""","""after"""
0,4533,"""filler""","""aliens""","""tolerate apaffs to some extent""","""are attacked by other creatures""","""full""",2,"""live in the continent of Aga""","2","""them to some extent. To reproduce, apaffs lay eggs. Apaffs incubate their eggs until hatching and ""","""find apaffs cute""","""text""","""same""",-99,"""most""",-99,"""Apaffs""","""interrupted""","""after"""
0,6954,"""filler""","""aliens""","""tolerate apaffs to some extent""","""tolerate apaffs to some extent""","""full""",2,"""find apaffs cute""","null","""""","""find apaffs cute""","""query""","""same""",0.59,"""most""",0.54,"""Apaffs""","""interrupted""","""after"""
0,1914,"""filler""","""aliens""","""tolerate apaffs to some extent""","""tolerate apaffs to some extent""","""full""",2,"""find apaffs cute""","3","""abandon them in special mounds once they have been laid.""","""find apaffs cute""","""text""","""same""",0.59,"""most""",0.54,"""Apaffs""","""interrupted""","""after"""
0,3272,"""critical""","""farmers in the springtime""","""plant some other crop""","""tolerate apaffs to some extent""",NA,3,"""find apaffs cute""","0","""The soil on the continent of Aga is very fertile, and the aliens have learned to grow many crops. ""","""plant fujusi""","""text""","""same""",-99,"""generic""",-99,"""Agriculture""","""after""",NA
0,3091,"""critical""","""farmers in the springtime""","""plant some other crop""","""tolerate apaffs to some extent""",NA,3,"""find apaffs cute""","1","""However, farmers only grow one type of crop in each season to increase their profits when selling. ""","""plant fujusi""","""text""","""same""",-99,"""generic""",-99,"""Agriculture""","""after""",NA
0,2667,"""critical""","""farmers in the springtime""","""plant some other crop""","""tolerate apaffs to some extent""",NA,3,"""find apaffs cute""","2","""Their farms are very big, often stretching several miles in every direction. During the springtime, ""","""plant fujusi""","""text""","""same""",-99,"""generic""",-99,"""Agriculture""","""after""",NA
0,2041,"""critical""","""farmers in the springtime""","""plant some other crop""","""tolerate apaffs to some extent""",NA,3,"""find apaffs cute""","3","""the aliens flood their fields in order to plant  fujusi and""","""plant fujusi""","""text""","""same""",-99,"""generic""",-99,"""Agriculture""","""after""",NA
